DATE,SPECIES,SEX,GROUP,ID,ANIMAL_ID,CAGE,NOTCH,PAW,DAY,OBSERVATION,LAST
2022_01_26,RAT,FEMALE,SCRs,A,AC342,7,NØ,LEFT,5,OOOXOXXX,4.56
2022_01_25,RAT,FEMALE,SCRs,A,AC225,1,L,RIGHT,5,OOOOXXOOX,5.18
2022_01_25,RAT,FEMALE,SCRs,A,AC226,1,R,RIGHT,5,OOOOXXOXX,4.74
2022_01_25,RAT,FEMALE,SCRs,A,AC227,1,NØ,RIGHT,5,OOOXOXOX,4.93
2022_01_26,RAT,FEMALE,SCRs,A,AC340,7,L,RIGHT,5,OOOOXXOXO,4.74
2022_01_26,RAT,FEMALE,SCRs,A,AC341,7,R,RIGHT,5,OXOOOX,4.93
2022_01_26,RAT,FEMALE,SCRs,A,AC342,7,NØ,RIGHT,5,OOXOXXO,4.31
2022_01_25,RAT,FEMALE,MBP84-104,B,AC228,2,L,LEFT,5,OXXOOX,4.56
2022_01_25,RAT,FEMALE,MBP84-104,B,AC229,2,R,LEFT,5,OXOXXO,4.08
2022_01_25,RAT,FEMALE,MBP84-104,B,AC330,2,NØ,LEFT,5,OXOOXX,4.56
2022_01_26,RAT,FEMALE,MBP84-104,B,AC343,8,L,LEFT,5,OOOOXXOXO,4.74
2022_01_26,RAT,FEMALE,MBP84-104,B,AC344,8,R,LEFT,5,OOOOXOO,5.18
2022_01_26,RAT,FEMALE,MBP84-104,B,AC345,8,NØ,LEFT,5,OOOOXXOOX,5.18
2022_01_25,RAT,FEMALE,MBP84-104,B,AC228,2,L,RIGHT,5,OOXOXOO,4.74
2022_01_25,RAT,FEMALE,MBP84-104,B,AC229,2,R,RIGHT,5,OXOOXX,4.56
2022_01_25,RAT,FEMALE,MBP84-104,B,AC330,2,NØ,RIGHT,5,OXOOOO,4.93
2022_01_26,RAT,FEMALE,MBP84-104,B,AC343,8,L,RIGHT,5,OOOOXXOOX,5.18
2022_01_26,RAT,FEMALE,MBP84-104,B,AC344,8,R,RIGHT,5,OOOOO,5.18
2022_01_26,RAT,FEMALE,MBP84-104,B,AC345,8,NØ,RIGHT,5,OOOOXOXOX,5.18
2022_01_25,RAT,FEMALE,OC-WT,C,AC331,4,L,LEFT,5,OOOXOXOX,4.93
2022_01_25,RAT,FEMALE,OC-WT,C,AC332,4,R,LEFT,5,OOXOXXO,4.31
2022_01_25,RAT,FEMALE,OC-WT,C,AC333,4,NØ,LEFT,5,OOXOXXO,4.31
2022_01_26,RAT,FEMALE,OC-WT,C,AC346,9,L,LEFT,5,OXOXOO,4.56
2022_01_26,RAT,FEMALE,OC-WT,C,AC347,9,R,LEFT,5,OOOXOOXX,4.93
2022_01_26,RAT,FEMALE,OC-WT,C,AC348,9,NØ,LEFT,5,OOOXOXOO,4.93
2022_01_25,RAT,FEMALE,OC-WT,C,AC331,4,L,RIGHT,5,OOOOXOXXX,4.74
2022_01_25,RAT,FEMALE,OC-WT,C,AC332,4,R,RIGHT,5,OOOXOXXX,4.56
2022_01_25,RAT,FEMALE,OC-WT,C,AC333,4,NØ,RIGHT,5,OOOXOOXO,4.93
2022_01_26,RAT,FEMALE,OC-WT,C,AC346,9,L,RIGHT,5,OOOOXOXOX,5.18
2022_01_26,RAT,FEMALE,OC-WT,C,AC347,9,R,RIGHT,5,OOXXOXO,4.31
2022_01_26,RAT,FEMALE,OC-WT,C,AC348,9,NØ,RIGHT,5,OOOOXXOOX,5.18
2022_01_25,RAT,FEMALE,COV2,D,AC334,5,L,LEFT,5,OOXOOXO,4.74
2022_01_25,RAT,FEMALE,COV2,D,AC335,5,R,LEFT,5,OOOOXOXOX,5.18
2022_01_25,RAT,FEMALE,COV2,D,AC336,5,NØ,LEFT,5,OOXOXOO,4.74
2022_01_26,RAT,FEMALE,COV2,D,AC349,10,L,LEFT,5,OOOOXOXXX,4.74
2022_01_26,RAT,FEMALE,COV2,D,AC350,10,R,LEFT,5,OOOOXOXOX,5.18
2022_01_26,RAT,FEMALE,COV2,D,AC351,10,NØ,LEFT,5,OXOXOO,4.56
2022_01_25,RAT,FEMALE,COV2,D,AC334,5,L,RIGHT,5,OOOOXOXOX,5.18
2022_01_25,RAT,FEMALE,COV2,D,AC335,5,R,RIGHT,5,OOOOXOXXO,4.74
2022_01_25,RAT,FEMALE,COV2,D,AC336,5,NØ,RIGHT,5,OOOOXOXOX,5.18
2022_01_26,RAT,FEMALE,COV2,D,AC349,10,L,RIGHT,5,OOOXOOO,5.18
2022_01_26,RAT,FEMALE,COV2,D,AC350,10,R,RIGHT,5,OOOXOOXX,4.93
2022_01_26,RAT,FEMALE,COV2,D,AC351,10,NØ,RIGHT,5,OOOOXXOXO,4.74
2022_01_25,RAT,FEMALE,PBS,E,AC337,6,L,LEFT,5,OOOXXOOX,5.18
2022_01_25,RAT,FEMALE,PBS,E,AC338,6,R,LEFT,5,OOXOOOX,5.18
2022_01_25,RAT,FEMALE,PBS,E,AC339,6,NØ,LEFT,5,OOOOXOXXO,4.74
2022_01_26,RAT,FEMALE,PBS,E,AC352,12,L,LEFT,5,OOOOXXOOX,5.18
2022_01_26,RAT,FEMALE,PBS,E,AC353,12,R,LEFT,5,OOOXOXXO,4.56
2022_01_26,RAT,FEMALE,PBS,E,AC354,12,NØ,LEFT,5,OOXOXOO,4.74
2022_01_25,RAT,FEMALE,PBS,E,AC337,6,L,RIGHT,5,OOOOO,5.18
2022_01_25,RAT,FEMALE,PBS,E,AC338,6,R,RIGHT,5,OOOOXOO,5.18
2022_01_25,RAT,FEMALE,PBS,E,AC339,6,NØ,RIGHT,5,OOOXOOXO,4.93
2022_01_26,RAT,FEMALE,PBS,E,AC352,12,L,RIGHT,5,OOOXOOXX,4.93
2022_01_26,RAT,FEMALE,PBS,E,AC353,12,R,RIGHT,5,OOOOXOXOX,5.18
2022_01_26,RAT,FEMALE,PBS,E,AC354,12,NØ,RIGHT,5,OOOOXOXXO,4.74
,RAT,FEMALE,SCRs,A,AC225,1,L,LEFT,7,OOXOOXO,4.74
,RAT,FEMALE,SCRs,A,AC225,1,L,RIGHT,7,OOOXOOO,5.18
,RAT,FEMALE,SCRs,A,AC226,1,R,LEFT,7,OOOOXOXXO,4.74
,RAT,FEMALE,SCRs,A,AC226,1,R,RIGHT,7,OOOOXOXOX,5.18
,RAT,FEMALE,SCRs,A,AC227,1,NØ,LEFT,7,OOOXOXOO,4.93
,RAT,FEMALE,SCRs,A,AC227,1,NØ,RIGHT,7,OOOXOOXO,4.93
,RAT,FEMALE,MBP84-104,B,AC228,2,L,LEFT,7,OOOXOXOX,4.93
,RAT,FEMALE,MBP84-104,B,AC228,2,L,RIGHT,7,OOOXOXOX,4.93
,RAT,FEMALE,MBP84-104,B,AC229,2,R,LEFT,7,XOXOOX,4.56
,RAT,FEMALE,MBP84-104,B,AC229,2,R,RIGHT,7,OOOOXXXXO,4.31
,RAT,FEMALE,MBP84-104,B,AC330,2,NØ,LEFT,7,OOOXXOXX,4.56
,RAT,FEMALE,MBP84-104,B,AC330,2,NØ,RIGHT,7,OOOOXOXOO,5.18
,RAT,FEMALE,OC-WT,C,AC331,4,L,LEFT,7,OOOXOXOX,4.93
,RAT,FEMALE,OC-WT,C,AC331,4,L,RIGHT,7,OOOOXXOXO,4.74
,RAT,FEMALE,OC-WT,C,AC332,4,R,LEFT,7,OOXOXOO,4.74
,RAT,FEMALE,OC-WT,C,AC332,4,R,RIGHT,7,OOOOO,5.18
,RAT,FEMALE,OC-WT,C,AC333,4,NØ,LEFT,7,OOOOXXOXX,4.74
,RAT,FEMALE,OC-WT,C,AC333,4,NØ,RIGHT,7,OOOOO,5.18
,RAT,FEMALE,COV2,D,AC334,5,L,LEFT,7,OOOOXOXOX,5.18
,RAT,FEMALE,COV2,D,AC334,5,L,RIGHT,7,OOOOXOXOX,5.18
,RAT,FEMALE,COV2,D,AC335,5,R,LEFT,7,OOOOXOXOX,5.18
,RAT,FEMALE,COV2,D,AC335,5,R,RIGHT,7,OOOOO,5.18
,RAT,FEMALE,COV2,D,AC336,5,NØ,LEFT,7,OOOOXOXXO,4.74
,RAT,FEMALE,COV2,D,AC336,5,NØ,RIGHT,7,OOXOOOX,5.18
,RAT,FEMALE,PBS,E,AC337,6,L,LEFT,7,OOOOXXOOX,5.18
,RAT,FEMALE,PBS,E,AC337,6,L,RIGHT,7,OOOOO,5.18
,RAT,FEMALE,PBS,E,AC338,6,R,LEFT,7,OOOOXOXXO,4.74
,RAT,FEMALE,PBS,E,AC338,6,R,RIGHT,7,OOOOO,5.18
,RAT,FEMALE,PBS,E,AC339,6,NØ,LEFT,7,OOOOXOXXO,4.74
,RAT,FEMALE,PBS,E,AC339,6,NØ,RIGHT,7,OOOOO,5.18
,RAT,FEMALE,SCRs,A,AC340,7,L,LEFT,7,OOXOXXO,4.31
,RAT,FEMALE,SCRs,A,AC340,7,L,RIGHT,7,OOOXOOXO,4.93
,RAT,FEMALE,SCRs,A,AC341,7,R,LEFT,7,OOXOOOX,5.18
,RAT,FEMALE,SCRs,A,AC341,7,R,RIGHT,7,OOOXOXOX,4.93
,RAT,FEMALE,SCRs,A,AC342,7,NØ,LEFT,7,OOOOXOXOX,5.18
,RAT,FEMALE,SCRs,A,AC342,7,NØ,RIGHT,7,OOOXOXOX,4.93
,RAT,FEMALE,MBP84-104,B,AC343,8,L,LEFT,7,OOOXOXOO,4.93
,RAT,FEMALE,MBP84-104,B,AC343,8,L,RIGHT,7,OOOXOXOX,4.93
